product,utc,incidence_deg,sun_elev_deg,emission_deg,phase_deg,sun_az_deg,az_source,center_lat,center_lon,download_url,covers_site
nac.m1271332439re,2018-01-23T07:39:32+00:00,90.18,-0.18000000000000682,1.14,89.75,76.04691615436646,proxy,-85.4717,14.7486,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0034/DATA/ESM3/2018023/NAC/M1271332439RE.IMG,yes
nac.m1171848485re,2014-11-28T21:13:38+00:00,89.31,0.6899999999999977,1.13,88.18,79.19593890439893,proxy,-83.4801,23.8974,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014332/NAC/M1171848485RE.IMG,yes
nac.m1171855592le,2014-11-28T23:12:05+00:00,89.23,0.769999999999996,1.69,90.93,80.19871267729626,proxy,-83.4918,23.6442,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014332/NAC/M1171855592LE.IMG,yes
nac.m1171862713le,2014-11-29T01:10:46+00:00,89.2,0.7999999999999972,1.69,90.89,81.20346180306704,proxy,-84.2113,24.8059,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014333/NAC/M1171862713LE.IMG,yes
nac.m1495922531le,2025-03-06T17:47:43+00:00,87.43,2.569999999999993,57.33,32.29,84.95262987388469,proxy,-84.7656,29.99,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025065/NAC/M1495922531LE.IMG,yes
nac.m177489547le,2011-12-02T18:24:40+00:00,87.15,2.8499999999999943,1.69,88.73,85.46746488768933,proxy,-83.9833,28.4612,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0009/DATA/SCI/2011336/NAC/M177489547LE.IMG,yes
nac.m177489547re,2011-12-02T18:24:40+00:00,87.23,2.769999999999996,1.14,86.13,85.46746488768933,proxy,-83.9956,27.6571,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0009/DATA/SCI/2011336/NAC/M177489547RE.IMG,yes
nac.m1495929539le,2025-03-06T19:44:32+00:00,87.39,2.6099999999999994,57.11,32.43,85.94157617670118,proxy,-84.7504,29.4612,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025065/NAC/M1495929539LE.IMG,yes
nac.m1120881244re,2013-04-17T23:39:37+00:00,87.56,2.4399999999999977,1.13,86.81,87.88982496984363,proxy,-84.1917,32.7679,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0015/DATA/ESM/2013107/NAC/M1120881244RE.IMG,yes
nac.m1120888353le,2013-04-18T01:38:06+00:00,87.13,2.8700000000000045,1.67,88.15,88.89288093600702,proxy,-83.7466,34.0521,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0015/DATA/ESM/2013108/NAC/M1120888353LE.IMG,yes
nac.m1495957572le,2025-03-07T03:31:45+00:00,87.12,2.8799999999999955,55.18,33.84,89.89693809814564,proxy,-84.7052,28.7122,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025066/NAC/M1495957572LE.IMG,yes
nac.m190278418re,2012-04-28T18:52:31+00:00,88.3,1.7000000000000028,1.13,87.51,89.93410675712738,proxy,-85.0862,29.3569,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0011/DATA/SCI/2012119/NAC/M190278418RE.IMG,yes
nac.m1210223287re,2016-02-16T00:53:40+00:00,87.37,2.6299999999999955,1.12,87.1,93.75130484285451,proxy,-84.6454,33.6442,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0026/DATA/ESM2/2016047/NAC/M1210223287RE.IMG,yes
nac.m1353104795re,2020-08-26T18:12:08+00:00,88.63,1.3700000000000045,1.14,87.55,93.85104515623694,proxy,-84.5732,22.9301,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0044C/DATA/ESM4/2020239/NAC/M1353104795RE.IMG,yes
nac.m1495985617le,2025-03-07T11:19:10+00:00,86.76,3.239999999999995,51.82,36.53,93.85399317918642,proxy,-84.7207,29.6004,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025066/NAC/M1495985617LE.IMG,yes
